x,y,mux,sel,byte,mask
13,3,CFG_TMUX,60,77010,4
13,3,CFG_TMUX,61,77010,8
13,3,CFG_TMUX,62,77126,8
13,3,CFG_TMUX,63,77126,4
13,3,CFG_TMUX,64,78170,1
13,3,CFG_TMUX,65,78286,1
13,3,CFG_TMUX,66,78170,2
13,3,CFG_TMUX,67,78286,2
13,3,CFG_TMUX,68,78170,4
13,3,CFG_TMUX,69,78170,8
13,3,CFG_TMUX,70,78286,8
13,3,CFG_TMUX,71,78286,4
13,3,CFG_TMUX,72,78634,1
13,3,CFG_TMUX,73,78750,1
13,3,CFG_TMUX,74,78634,2
13,3,CFG_TMUX,75,78750,2
13,3,CFG_TMUX,76,78634,4
13,3,CFG_TMUX,77,78634,8
13,3,CFG_TMUX,78,78750,8
13,3,CFG_TMUX,79,78750,4
13,3,CFG_TMUX,80,78866,1
13,3,CFG_TMUX,81,78982,1
13,3,CFG_TMUX,82,78866,2
13,3,CFG_TMUX,83,78982,2
13,3,CFG_TMUX,84,78866,4
13,3,CFG_TMUX,85,78866,8
13,3,CFG_TMUX,86,78982,8
13,3,CFG_TMUX,87,78982,4
13,3,CFG_TMUX,88,79330,1
13,3,CFG_TMUX,89,79446,1
13,3,CFG_TMUX,90,79330,2
13,3,CFG_TMUX,91,79446,2
13,3,CFG_TMUX,92,79330,4
13,3,CFG_TMUX,93,79330,8
13,3,CFG_TMUX,94,79446,8
13,3,CFG_TMUX,95,79446,4
13,3,CFG_TMUX,96,80026,1
13,3,CFG_TMUX,97,80142,1
13,3,CFG_TMUX,98,80026,2
13,3,CFG_TMUX,99,80142,2
13,3,CFG_TMUX,100,80026,4
13,3,CFG_TMUX,101,80026,8
13,3,CFG_TMUX,102,80142,8
13,3,CFG_TMUX,103,80142,4
13,3,CFG_TMUX,104,80490,1
13,3,CFG_TMUX,105,80606,1
13,3,CFG_TMUX,106,80490,2
13,3,CFG_TMUX,107,80606,2
13,3,CFG_TMUX,108,80490,4
13,3,CFG_TMUX,109,80490,8
13,3,CFG_TMUX,110,80606,8
13,3,CFG_TMUX,111,80606,4
13,3,CFG_TMUX,112,80722,1
13,3,CFG_TMUX,113,80838,1
13,3,CFG_TMUX,114,80722,2
13,3,CFG_TMUX,115,80838,2
13,3,CFG_TMUX,116,80722,4
13,3,CFG_TMUX,117,80722,8
13,3,CFG_TMUX,118,80838,8
13,3,CFG_TMUX,119,80838,4
13,3,CFG_TMUX,120,81186,1
13,3,CFG_TMUX,121,81302,1
13,3,CFG_TMUX,122,81186,2
13,3,CFG_TMUX,123,81302,2
13,3,CFG_TMUX,124,81186,4
13,3,CFG_TMUX,125,81186,8
13,3,CFG_TMUX,126,81302,8
13,3,CFG_TMUX,127,81302,4
13,3,CFG_TileAsyncMUX,0,77474,4
13,3,CFG_TileAsyncMUX,1,77590,4
13,3,CFG_TileAsyncMUX,2,77590,8
13,3,CFG_TileAsyncMUX,3,77474,8
13,3,CFG_TileAsyncMUX,4,77590,64
13,3,CFG_TileAsyncMUX,5,77590,32
13,3,CFG_TileAsyncMUX,6,77590,16
13,3,CFG_TileAsyncMUX,7,77590,128
13,3,CFG_TileClkEnMUX,0,77706,64
13,3,CFG_TileClkEnMUX,1,77706,32
13,3,CFG_TileClkEnMUX,2,77706,16
13,3,CFG_TileClkEnMUX,3,77706,128
13,3,CFG_TileClkEnMUX,4,77822,4
13,3,CFG_TileClkEnMUX,5,77706,4
13,3,CFG_TileClkEnMUX,6,77706,8
13,3,CFG_TileClkEnMUX,7,77822,8
13,3,CFG_TileClkMUX,0,77474,64
13,3,CFG_TileClkMUX,1,77474,32
13,3,CFG_TileClkMUX,2,77474,16
13,3,CFG_TileClkMUX,3,77474,128
13,3,CFG_TileClkMUX,4,77822,64
13,3,CFG_TileClkMUX,5,77822,32
13,3,CFG_TileClkMUX,6,77822,16
13,3,CFG_TileClkMUX,7,77822,128
13,4,CFG_CLKMODE,0,71558,128
13,4,CFG_CLKMODE,1,71558,64
13,4,CFG_CtrlMUX,0,69588,16
13,4,CFG_CtrlMUX,1,69704,16
13,4,CFG_CtrlMUX,2,69588,32
13,4,CFG_CtrlMUX,3,69704,32
13,4,CFG_CtrlMUX,4,69588,64
13,4,CFG_CtrlMUX,5,69704,64
13,4,CFG_CtrlMUX,6,69588,128
13,4,CFG_CtrlMUX,7,69704,128
13,4,CFG_CtrlMUX,8,69703,2
13,4,CFG_CtrlMUX,9,69703,1
13,4,CFG_CtrlMUX,10,69587,2
13,4,CFG_CtrlMUX,11,69587,1
13,4,CFG_CtrlMUX,12,69587,128
13,4,CFG_CtrlMUX,13,69703,128
13,4,CFG_CtrlMUX,14,69587,64
13,4,CFG_CtrlMUX,15,69703,64
13,4,CFG_CtrlMUX,16,69587,32
13,4,CFG_CtrlMUX,17,69703,32
13,4,CFG_CtrlMUX,18,69587,16
13,4,CFG_CtrlMUX,19,69703,16
13,4,CFG_CtrlMUX,20,69703,4
13,4,CFG_CtrlMUX,21,69703,8
13,4,CFG_CtrlMUX,22,69587,4
13,4,CFG_CtrlMUX,23,69587,8
13,4,CFG_CtrlMUX,24,69936,16
13,4,CFG_CtrlMUX,25,69820,16
13,4,CFG_CtrlMUX,26,69936,32
13,4,CFG_CtrlMUX,27,69820,32
13,4,CFG_CtrlMUX,28,69936,64
13,4,CFG_CtrlMUX,29,69820,64
13,4,CFG_CtrlMUX,30,69936,128
13,4,CFG_CtrlMUX,31,69820,128
13,4,CFG_CtrlMUX,32,69819,2
13,4,CFG_CtrlMUX,33,69819,1
13,4,CFG_CtrlMUX,34,69935,2
13,4,CFG_CtrlMUX,35,69935,1
13,4,CFG_CtrlMUX,36,69935,128
13,4,CFG_CtrlMUX,37,69819,128
13,4,CFG_CtrlMUX,38,69935,64
13,4,CFG_CtrlMUX,39,69819,64
13,4,CFG_CtrlMUX,40,69935,32
13,4,CFG_CtrlMUX,41,69819,32
13,4,CFG_CtrlMUX,42,69935,16
13,4,CFG_CtrlMUX,43,69819,16
13,4,CFG_CtrlMUX,44,69819,4
13,4,CFG_CtrlMUX,45,69819,8
13,4,CFG_CtrlMUX,46,69935,4
13,4,CFG_CtrlMUX,47,69935,8
13,4,CFG_DLYTIME,0,68774,64
13,4,CFG_DLYTIME,1,70398,64
13,4,CFG_DWSEL_A,0,68774,128
13,4,CFG_DWSEL_A,1,68542,128
13,4,CFG_DWSEL_A,2,68078,64
13,4,CFG_DWSEL_A,3,67382,128
13,4,CFG_DWSEL_A,4,71094,64
13,4,CFG_DWSEL_B,0,70862,128
13,4,CFG_DWSEL_B,1,70862,64
13,4,CFG_DWSEL_B,2,71558,32
13,4,CFG_DWSEL_B,3,72254,64
13,4,CFG_DWSEL_B,4,71094,128
13,4,CFG_IMUX0,0,65876,16
13,4,CFG_IMUX0,1,65992,16
13,4,CFG_IMUX0,2,65876,32
13,4,CFG_IMUX0,3,65992,32
13,4,CFG_IMUX0,4,65876,64
13,4,CFG_IMUX0,5,65992,64
13,4,CFG_IMUX0,6,65876,128
13,4,CFG_IMUX0,7,65992,128
13,4,CFG_IMUX0,8,65875,1
13,4,CFG_IMUX0,9,65875,2
13,4,CFG_IMUX0,10,65991,2
13,4,CFG_IMUX0,11,65991,1
13,4,CFG_IMUX0,12,65875,128
13,4,CFG_IMUX0,13,65991,128
13,4,CFG_IMUX0,14,65875,64
13,4,CFG_IMUX0,15,65991,64
13,4,CFG_IMUX0,16,65875,32
13,4,CFG_IMUX0,17,65991,32
13,4,CFG_IMUX0,18,65875,16
13,4,CFG_IMUX0,19,65991,16
13,4,CFG_IMUX0,20,65875,8
13,4,CFG_IMUX0,21,65875,4
13,4,CFG_IMUX0,22,65991,4
13,4,CFG_IMUX0,23,65991,8
13,4,CFG_IMUX0,24,66108,16
13,4,CFG_IMUX0,25,66224,16
13,4,CFG_IMUX0,26,66108,32
13,4,CFG_IMUX0,27,66224,32
13,4,CFG_IMUX0,28,66108,64
13,4,CFG_IMUX0,29,66224,64
13,4,CFG_IMUX0,30,66108,128
13,4,CFG_IMUX0,31,66224,128
13,4,CFG_IMUX0,32,66107,1
13,4,CFG_IMUX0,33,66107,2
13,4,CFG_IMUX0,34,66223,2
13,4,CFG_IMUX0,35,66223,1
13,4,CFG_IMUX0,36,66107,128
13,4,CFG_IMUX0,37,66223,128
13,4,CFG_IMUX0,38,66107,64
13,4,CFG_IMUX0,39,66223,64
13,4,CFG_IMUX0,40,66107,32
13,4,CFG_IMUX0,41,66223,32
13,4,CFG_IMUX0,42,66107,16
13,4,CFG_IMUX0,43,66223,16
13,4,CFG_IMUX0,44,66107,8
13,4,CFG_IMUX0,45,66107,4
13,4,CFG_IMUX0,46,66223,4
13,4,CFG_IMUX0,47,66223,8
13,4,CFG_IMUX1,0,66340,16
13,4,CFG_IMUX1,1,66456,16
13,4,CFG_IMUX1,2,66340,32
13,4,CFG_IMUX1,3,66456,32
13,4,CFG_IMUX1,4,66340,64
13,4,CFG_IMUX1,5,66456,64
13,4,CFG_IMUX1,6,66340,128
13,4,CFG_IMUX1,7,66456,128
13,4,CFG_IMUX1,8,66339,1
13,4,CFG_IMUX1,9,66339,2
13,4,CFG_IMUX1,10,66455,2
13,4,CFG_IMUX1,11,66455,1
13,4,CFG_IMUX1,12,66339,128
13,4,CFG_IMUX1,13,66455,128
13,4,CFG_IMUX1,14,66339,64
13,4,CFG_IMUX1,15,66455,64
13,4,CFG_IMUX1,16,66339,32
13,4,CFG_IMUX1,17,66455,32
13,4,CFG_IMUX1,18,66339,16
13,4,CFG_IMUX1,19,66455,16
13,4,CFG_IMUX1,20,66339,8
13,4,CFG_IMUX1,21,66339,4
13,4,CFG_IMUX1,22,66455,4
13,4,CFG_IMUX1,23,66455,8
13,4,CFG_IMUX1,24,66572,16
13,4,CFG_IMUX1,25,66688,16
13,4,CFG_IMUX1,26,66572,32
13,4,CFG_IMUX1,27,66688,32
13,4,CFG_IMUX1,28,66572,64
13,4,CFG_IMUX1,29,66688,64
13,4,CFG_IMUX1,30,66572,128
13,4,CFG_IMUX1,31,66688,128
13,4,CFG_IMUX1,32,66571,1
13,4,CFG_IMUX1,33,66571,2
13,4,CFG_IMUX1,34,66687,2
13,4,CFG_IMUX1,35,66687,1
13,4,CFG_IMUX1,36,66571,128
13,4,CFG_IMUX1,37,66687,128
13,4,CFG_IMUX1,38,66571,64
13,4,CFG_IMUX1,39,66687,64
13,4,CFG_IMUX1,40,66571,32
13,4,CFG_IMUX1,41,66687,32
13,4,CFG_IMUX1,42,66571,16
13,4,CFG_IMUX1,43,66687,16
13,4,CFG_IMUX1,44,66571,8
13,4,CFG_IMUX1,45,66571,4
13,4,CFG_IMUX1,46,66687,4
13,4,CFG_IMUX1,47,66687,8
13,4,CFG_IMUX10,0,70980,16
13,4,CFG_IMUX10,1,71096,16
13,4,CFG_IMUX10,2,70980,32
13,4,CFG_IMUX10,3,71096,32
13,4,CFG_IMUX10,4,70980,64
13,4,CFG_IMUX10,5,71096,64
13,4,CFG_IMUX10,6,70980,128
13,4,CFG_IMUX10,7,71096,128
13,4,CFG_IMUX10,8,70979,1
13,4,CFG_IMUX10,9,70979,2
13,4,CFG_IMUX10,10,71095,2
13,4,CFG_IMUX10,11,71095,1
13,4,CFG_IMUX10,12,70979,128
13,4,CFG_IMUX10,13,71095,128
13,4,CFG_IMUX10,14,70979,64
13,4,CFG_IMUX10,15,71095,64
13,4,CFG_IMUX10,16,70979,32
13,4,CFG_IMUX10,17,71095,32
13,4,CFG_IMUX10,18,70979,16
13,4,CFG_IMUX10,19,71095,16
13,4,CFG_IMUX10,20,70979,8
13,4,CFG_IMUX10,21,70979,4
13,4,CFG_IMUX10,22,71095,4
13,4,CFG_IMUX10,23,71095,8
13,4,CFG_IMUX10,24,71212,16
13,4,CFG_IMUX10,25,71328,16
13,4,CFG_IMUX10,26,71212,32
13,4,CFG_IMUX10,27,71328,32
13,4,CFG_IMUX10,28,71212,64
13,4,CFG_IMUX10,29,71328,64
13,4,CFG_IMUX10,30,71212,128
13,4,CFG_IMUX10,31,71328,128
13,4,CFG_IMUX10,32,71211,1
13,4,CFG_IMUX10,33,71211,2
13,4,CFG_IMUX10,34,71327,2
13,4,CFG_IMUX10,35,71327,1
13,4,CFG_IMUX10,36,71211,128
13,4,CFG_IMUX10,37,71327,128
13,4,CFG_IMUX10,38,71211,64
13,4,CFG_IMUX10,39,71327,64
13,4,CFG_IMUX10,40,71211,32
13,4,CFG_IMUX10,41,71327,32
13,4,CFG_IMUX10,42,71211,16
13,4,CFG_IMUX10,43,71327,16
13,4,CFG_IMUX10,44,71211,8
13,4,CFG_IMUX10,45,71211,4
13,4,CFG_IMUX10,46,71327,4
13,4,CFG_IMUX10,47,71327,8
13,4,CFG_IMUX11,0,71444,16
13,4,CFG_IMUX11,1,71560,16
13,4,CFG_IMUX11,2,71444,32
13,4,CFG_IMUX11,3,71560,32
13,4,CFG_IMUX11,4,71444,64
13,4,CFG_IMUX11,5,71560,64
13,4,CFG_IMUX11,6,71444,128
13,4,CFG_IMUX11,7,71560,128
13,4,CFG_IMUX11,8,71443,1
13,4,CFG_IMUX11,9,71443,2
13,4,CFG_IMUX11,10,71559,2
13,4,CFG_IMUX11,11,71559,1
13,4,CFG_IMUX11,12,71443,128
13,4,CFG_IMUX11,13,71559,128
13,4,CFG_IMUX11,14,71443,64
13,4,CFG_IMUX11,15,71559,64
13,4,CFG_IMUX11,16,71443,32
13,4,CFG_IMUX11,17,71559,32
13,4,CFG_IMUX11,18,71443,16
13,4,CFG_IMUX11,19,71559,16
13,4,CFG_IMUX11,20,71443,8
13,4,CFG_IMUX11,21,71443,4
13,4,CFG_IMUX11,22,71559,4
13,4,CFG_IMUX11,23,71559,8
13,4,CFG_IMUX11,24,71676,16
13,4,CFG_IMUX11,25,71792,16
13,4,CFG_IMUX11,26,71676,32
13,4,CFG_IMUX11,27,71792,32
13,4,CFG_IMUX11,28,71676,64
13,4,CFG_IMUX11,29,71792,64
13,4,CFG_IMUX11,30,71676,128
13,4,CFG_IMUX11,31,71792,128
13,4,CFG_IMUX11,32,71675,1
13,4,CFG_IMUX11,33,71675,2
13,4,CFG_IMUX11,34,71791,2
13,4,CFG_IMUX11,35,71791,1
13,4,CFG_IMUX11,36,71675,128
13,4,CFG_IMUX11,37,71791,128
13,4,CFG_IMUX11,38,71675,64
13,4,CFG_IMUX11,39,71791,64
13,4,CFG_IMUX11,40,71675,32
13,4,CFG_IMUX11,41,71791,32
13,4,CFG_IMUX11,42,71675,16
13,4,CFG_IMUX11,43,71791,16
13,4,CFG_IMUX11,44,71675,8
13,4,CFG_IMUX11,45,71675,4
13,4,CFG_IMUX11,46,71791,4
13,4,CFG_IMUX11,47,71791,8
13,4,CFG_IMUX12,0,71908,16
13,4,CFG_IMUX12,1,72024,16
13,4,CFG_IMUX12,2,71908,32
13,4,CFG_IMUX12,3,72024,32
13,4,CFG_IMUX12,4,71908,64
13,4,CFG_IMUX12,5,72024,64
13,4,CFG_IMUX12,6,71908,128
13,4,CFG_IMUX12,7,72024,128
13,4,CFG_IMUX12,8,71907,1
13,4,CFG_IMUX12,9,71907,2
13,4,CFG_IMUX12,10,72023,2
13,4,CFG_IMUX12,11,72023,1
13,4,CFG_IMUX12,12,71907,128
13,4,CFG_IMUX12,13,72023,128
13,4,CFG_IMUX12,14,71907,64
13,4,CFG_IMUX12,15,72023,64
13,4,CFG_IMUX12,16,71907,32
13,4,CFG_IMUX12,17,72023,32
13,4,CFG_IMUX12,18,71907,16
13,4,CFG_IMUX12,19,72023,16
13,4,CFG_IMUX12,20,71907,8
13,4,CFG_IMUX12,21,71907,4
13,4,CFG_IMUX12,22,72023,4
13,4,CFG_IMUX12,23,72023,8
13,4,CFG_IMUX12,24,72140,16
13,4,CFG_IMUX12,25,72256,16
13,4,CFG_IMUX12,26,72140,32
13,4,CFG_IMUX12,27,72256,32
13,4,CFG_IMUX12,28,72140,64
13,4,CFG_IMUX12,29,72256,64
13,4,CFG_IMUX12,30,72140,128
13,4,CFG_IMUX12,31,72256,128
13,4,CFG_IMUX12,32,72139,1
13,4,CFG_IMUX12,33,72139,2
13,4,CFG_IMUX12,34,72255,2
13,4,CFG_IMUX12,35,72255,1
13,4,CFG_IMUX12,36,72139,128
13,4,CFG_IMUX12,37,72255,128
13,4,CFG_IMUX12,38,72139,64
13,4,CFG_IMUX12,39,72255,64
13,4,CFG_IMUX12,40,72139,32
13,4,CFG_IMUX12,41,72255,32
13,4,CFG_IMUX12,42,72139,16
13,4,CFG_IMUX12,43,72255,16
13,4,CFG_IMUX12,44,72139,8
13,4,CFG_IMUX12,45,72139,4
13,4,CFG_IMUX12,46,72255,4
13,4,CFG_IMUX12,47,72255,8
13,4,CFG_IMUX13,0,72372,16
13,4,CFG_IMUX13,1,72488,16
13,4,CFG_IMUX13,2,72372,32
13,4,CFG_IMUX13,3,72488,32
13,4,CFG_IMUX13,4,72372,64
13,4,CFG_IMUX13,5,72488,64
13,4,CFG_IMUX13,6,72372,128
13,4,CFG_IMUX13,7,72488,128
13,4,CFG_IMUX13,8,72371,1
13,4,CFG_IMUX13,9,72371,2
13,4,CFG_IMUX13,10,72487,2
13,4,CFG_IMUX13,11,72487,1
13,4,CFG_IMUX13,12,72371,128
13,4,CFG_IMUX13,13,72487,128
13,4,CFG_IMUX13,14,72371,64
13,4,CFG_IMUX13,15,72487,64
13,4,CFG_IMUX13,16,72371,32
13,4,CFG_IMUX13,17,72487,32
13,4,CFG_IMUX13,18,72371,16
13,4,CFG_IMUX13,19,72487,16
13,4,CFG_IMUX13,20,72371,8
13,4,CFG_IMUX13,21,72371,4
13,4,CFG_IMUX13,22,72487,4
13,4,CFG_IMUX13,23,72487,8
13,4,CFG_IMUX13,24,72604,16
13,4,CFG_IMUX13,25,72720,16
13,4,CFG_IMUX13,26,72604,32
13,4,CFG_IMUX13,27,72720,32
13,4,CFG_IMUX13,28,72604,64
13,4,CFG_IMUX13,29,72720,64
13,4,CFG_IMUX13,30,72604,128
13,4,CFG_IMUX13,31,72720,128
13,4,CFG_IMUX13,32,72603,1
13,4,CFG_IMUX13,33,72603,2
13,4,CFG_IMUX13,34,72719,2
13,4,CFG_IMUX13,35,72719,1
13,4,CFG_IMUX13,36,72603,128
13,4,CFG_IMUX13,37,72719,128
13,4,CFG_IMUX13,38,72603,64
13,4,CFG_IMUX13,39,72719,64
13,4,CFG_IMUX13,40,72603,32
13,4,CFG_IMUX13,41,72719,32
13,4,CFG_IMUX13,42,72603,16
13,4,CFG_IMUX13,43,72719,16
13,4,CFG_IMUX13,44,72603,8
13,4,CFG_IMUX13,45,72603,4
13,4,CFG_IMUX13,46,72719,4
13,4,CFG_IMUX13,47,72719,8
13,4,CFG_IMUX14,0,72836,16
13,4,CFG_IMUX14,1,72952,16
13,4,CFG_IMUX14,2,72836,32
13,4,CFG_IMUX14,3,72952,32
13,4,CFG_IMUX14,4,72836,64
13,4,CFG_IMUX14,5,72952,64
13,4,CFG_IMUX14,6,72836,128
13,4,CFG_IMUX14,7,72952,128
13,4,CFG_IMUX14,8,72835,1
13,4,CFG_IMUX14,9,72835,2
13,4,CFG_IMUX14,10,72951,2
13,4,CFG_IMUX14,11,72951,1
13,4,CFG_IMUX14,12,72835,128
13,4,CFG_IMUX14,13,72951,128
13,4,CFG_IMUX14,14,72835,64
13,4,CFG_IMUX14,15,72951,64
13,4,CFG_IMUX14,16,72835,32
13,4,CFG_IMUX14,17,72951,32
13,4,CFG_IMUX14,18,72835,16
13,4,CFG_IMUX14,19,72951,16
13,4,CFG_IMUX14,20,72835,8
13,4,CFG_IMUX14,21,72835,4
13,4,CFG_IMUX14,22,72951,4
13,4,CFG_IMUX14,23,72951,8
13,4,CFG_IMUX14,24,73068,16
13,4,CFG_IMUX14,25,73184,16
13,4,CFG_IMUX14,26,73068,32
13,4,CFG_IMUX14,27,73184,32
13,4,CFG_IMUX14,28,73068,64
13,4,CFG_IMUX14,29,73184,64
13,4,CFG_IMUX14,30,73068,128
13,4,CFG_IMUX14,31,73184,128
13,4,CFG_IMUX14,32,73067,1
13,4,CFG_IMUX14,33,73067,2
13,4,CFG_IMUX14,34,73183,2
13,4,CFG_IMUX14,35,73183,1
13,4,CFG_IMUX14,36,73067,128
13,4,CFG_IMUX14,37,73183,128
13,4,CFG_IMUX14,38,73067,64
13,4,CFG_IMUX14,39,73183,64
13,4,CFG_IMUX14,40,73067,32
13,4,CFG_IMUX14,41,73183,32
13,4,CFG_IMUX14,42,73067,16
13,4,CFG_IMUX14,43,73183,16
13,4,CFG_IMUX14,44,73067,8
13,4,CFG_IMUX14,45,73067,4
13,4,CFG_IMUX14,46,73183,4
13,4,CFG_IMUX14,47,73183,8
13,4,CFG_IMUX15,0,73300,16
13,4,CFG_IMUX15,1,73416,16
13,4,CFG_IMUX15,2,73300,32
13,4,CFG_IMUX15,3,73416,32
13,4,CFG_IMUX15,4,73300,64
13,4,CFG_IMUX15,5,73416,64
13,4,CFG_IMUX15,6,73300,128
13,4,CFG_IMUX15,7,73416,128
13,4,CFG_IMUX15,8,73299,1
13,4,CFG_IMUX15,9,73299,2
13,4,CFG_IMUX15,10,73415,2
13,4,CFG_IMUX15,11,73415,1
13,4,CFG_IMUX15,12,73299,128
13,4,CFG_IMUX15,13,73415,128
13,4,CFG_IMUX15,14,73299,64
13,4,CFG_IMUX15,15,73415,64
13,4,CFG_IMUX15,16,73299,32
13,4,CFG_IMUX15,17,73415,32
13,4,CFG_IMUX15,18,73299,16
13,4,CFG_IMUX15,19,73415,16
13,4,CFG_IMUX15,20,73299,8
13,4,CFG_IMUX15,21,73299,4
13,4,CFG_IMUX15,22,73415,4
13,4,CFG_IMUX15,23,73415,8
13,4,CFG_IMUX15,24,73532,16
13,4,CFG_IMUX15,25,73648,16
13,4,CFG_IMUX15,26,73532,32
13,4,CFG_IMUX15,27,73648,32
13,4,CFG_IMUX15,28,73532,64
13,4,CFG_IMUX15,29,73648,64
13,4,CFG_IMUX15,30,73532,128
13,4,CFG_IMUX15,31,73648,128
13,4,CFG_IMUX15,32,73531,1
13,4,CFG_IMUX15,33,73531,2
13,4,CFG_IMUX15,34,73647,2
13,4,CFG_IMUX15,35,73647,1
13,4,CFG_IMUX15,36,73531,128
13,4,CFG_IMUX15,37,73647,128
13,4,CFG_IMUX15,38,73531,64
13,4,CFG_IMUX15,39,73647,64
13,4,CFG_IMUX15,40,73531,32
13,4,CFG_IMUX15,41,73647,32
13,4,CFG_IMUX15,42,73531,16
13,4,CFG_IMUX15,43,73647,16
13,4,CFG_IMUX15,44,73531,8
13,4,CFG_IMUX15,45,73531,4
13,4,CFG_IMUX15,46,73647,4
13,4,CFG_IMUX15,47,73647,8
13,4,CFG_IMUX2,0,66804,16
13,4,CFG_IMUX2,1,66920,16
13,4,CFG_IMUX2,2,66804,32
13,4,CFG_IMUX2,3,66920,32
13,4,CFG_IMUX2,4,66804,64
13,4,CFG_IMUX2,5,66920,64
13,4,CFG_IMUX2,6,66804,128
13,4,CFG_IMUX2,7,66920,128
13,4,CFG_IMUX2,8,66803,1
13,4,CFG_IMUX2,9,66803,2
13,4,CFG_IMUX2,10,66919,2
13,4,CFG_IMUX2,11,66919,1
13,4,CFG_IMUX2,12,66803,128
13,4,CFG_IMUX2,13,66919,128
13,4,CFG_IMUX2,14,66803,64
13,4,CFG_IMUX2,15,66919,64
13,4,CFG_IMUX2,16,66803,32
13,4,CFG_IMUX2,17,66919,32
13,4,CFG_IMUX2,18,66803,16
13,4,CFG_IMUX2,19,66919,16
13,4,CFG_IMUX2,20,66803,8
13,4,CFG_IMUX2,21,66803,4
13,4,CFG_IMUX2,22,66919,4
13,4,CFG_IMUX2,23,66919,8
13,4,CFG_IMUX2,24,67036,16
13,4,CFG_IMUX2,25,67152,16
13,4,CFG_IMUX2,26,67036,32
13,4,CFG_IMUX2,27,67152,32
13,4,CFG_IMUX2,28,67036,64
13,4,CFG_IMUX2,29,67152,64
13,4,CFG_IMUX2,30,67036,128
13,4,CFG_IMUX2,31,67152,128
13,4,CFG_IMUX2,32,67035,1
13,4,CFG_IMUX2,33,67035,2
13,4,CFG_IMUX2,34,67151,2
13,4,CFG_IMUX2,35,67151,1
13,4,CFG_IMUX2,36,67035,128
13,4,CFG_IMUX2,37,67151,128
13,4,CFG_IMUX2,38,67035,64
13,4,CFG_IMUX2,39,67151,64
13,4,CFG_IMUX2,40,67035,32
13,4,CFG_IMUX2,41,67151,32
13,4,CFG_IMUX2,42,67035,16
13,4,CFG_IMUX2,43,67151,16
13,4,CFG_IMUX2,44,67035,8
13,4,CFG_IMUX2,45,67035,4
13,4,CFG_IMUX2,46,67151,4
13,4,CFG_IMUX2,47,67151,8
13,4,CFG_IMUX3,0,67268,16
13,4,CFG_IMUX3,1,67384,16
13,4,CFG_IMUX3,2,67268,32
13,4,CFG_IMUX3,3,67384,32
13,4,CFG_IMUX3,4,67268,64
13,4,CFG_IMUX3,5,67384,64
13,4,CFG_IMUX3,6,67268,128
13,4,CFG_IMUX3,7,67384,128
13,4,CFG_IMUX3,8,67267,1
13,4,CFG_IMUX3,9,67267,2
13,4,CFG_IMUX3,10,67383,2
13,4,CFG_IMUX3,11,67383,1
13,4,CFG_IMUX3,12,67267,128
13,4,CFG_IMUX3,13,67383,128
13,4,CFG_IMUX3,14,67267,64
13,4,CFG_IMUX3,15,67383,64
13,4,CFG_IMUX3,16,67267,32
13,4,CFG_IMUX3,17,67383,32
13,4,CFG_IMUX3,18,67267,16
13,4,CFG_IMUX3,19,67383,16
13,4,CFG_IMUX3,20,67267,8
13,4,CFG_IMUX3,21,67267,4
13,4,CFG_IMUX3,22,67383,4
13,4,CFG_IMUX3,23,67383,8
13,4,CFG_IMUX3,24,67500,16
13,4,CFG_IMUX3,25,67616,16
13,4,CFG_IMUX3,26,67500,32
13,4,CFG_IMUX3,27,67616,32
13,4,CFG_IMUX3,28,67500,64
13,4,CFG_IMUX3,29,67616,64
13,4,CFG_IMUX3,30,67500,128
13,4,CFG_IMUX3,31,67616,128
13,4,CFG_IMUX3,32,67499,1
13,4,CFG_IMUX3,33,67499,2
13,4,CFG_IMUX3,34,67615,2
13,4,CFG_IMUX3,35,67615,1
13,4,CFG_IMUX3,36,67499,128
13,4,CFG_IMUX3,37,67615,128
13,4,CFG_IMUX3,38,67499,64
13,4,CFG_IMUX3,39,67615,64
13,4,CFG_IMUX3,40,67499,32
13,4,CFG_IMUX3,41,67615,32
13,4,CFG_IMUX3,42,67499,16
13,4,CFG_IMUX3,43,67615,16
13,4,CFG_IMUX3,44,67499,8
13,4,CFG_IMUX3,45,67499,4
13,4,CFG_IMUX3,46,67615,4
13,4,CFG_IMUX3,47,67615,8
13,4,CFG_IMUX4,0,67732,16
13,4,CFG_IMUX4,1,67848,16
13,4,CFG_IMUX4,2,67732,32
13,4,CFG_IMUX4,3,67848,32
13,4,CFG_IMUX4,4,67732,64
13,4,CFG_IMUX4,5,67848,64
13,4,CFG_IMUX4,6,67732,128
13,4,CFG_IMUX4,7,67848,128
13,4,CFG_IMUX4,8,67731,1
13,4,CFG_IMUX4,9,67731,2
13,4,CFG_IMUX4,10,67847,2
13,4,CFG_IMUX4,11,67847,1
13,4,CFG_IMUX4,12,67731,128
13,4,CFG_IMUX4,13,67847,128
13,4,CFG_IMUX4,14,67731,64
13,4,CFG_IMUX4,15,67847,64
13,4,CFG_IMUX4,16,67731,32
13,4,CFG_IMUX4,17,67847,32
13,4,CFG_IMUX4,18,67731,16
13,4,CFG_IMUX4,19,67847,16
13,4,CFG_IMUX4,20,67731,8
13,4,CFG_IMUX4,21,67731,4
13,4,CFG_IMUX4,22,67847,4
13,4,CFG_IMUX4,23,67847,8
13,4,CFG_IMUX4,24,67964,16
